Body,Department,Priority,Tags
Requesting assistance i need help configuring the ERP system on my new laptop,Technical Support,High,outlook email
Please help a duplicate charge for subscription appeared on my invoice,Human Resources,High,statement billing
Urgent requesting a proposal for deploying backup solution across our team,Sales and Pre-Sales,Low,license upgrade
FYI the mouse I ordered arrived scratched and I need a replacement,Returns and Exchanges,Low,return refund
Following up i would like to apply for annual leave starting next month,Human Resources,High,tax document
Requesting assistance requesting clarification on my remaining sick leave balance,Human Resources,High,enrollment benefits
For your attention requesting an extension on my unpaid leave due to personal reasons,Human Resources,Medium,payroll salary
Urgent how do I access my offer letter from previous years,Human Resources,High,employee benefits
For your attention the headset I ordered arrived defective and I need a replacement,Returns and Exchanges,Medium,return label
Please help Teams fails to sync my data with the database server,Technical Support,Critical,cloud storage
Following up i want to opt out of the retirement plan for the next enrollment period,Human Resources,High,onboarding paperwork
Following up the LAN is extremely slow when I try to video calls,Billing and Payments,High,password login
Hi team the authentication token reset link for Active Directory is not working,Technical Support,High,cloud storage
For your attention i want to discuss a bulk purchase of two hundred security solution licenses,Sales and Pre-Sales,Medium,product demo
Unable to access Office 365 due to an authentication error,Technical Support,Medium,server access
We are interested in a partnership regarding your CRM system,Sales and Pre-Sales,Medium,quote pricing
Quick question my parental leave balance was not updated after my last request,Human Resources,High,onboarding paperwork
Requesting assistance i have not received my payslip for tax filing purposes,Human Resources,Low,enrollment benefits
Please help the laptop does not work with our existing equipment,Returns and Exchanges,Low,damaged item
Hi team please arrange a call to discuss our premium requirements,Sales and Pre-Sales,Low,proposal request
Hello could you share case studies for your monitoring platform in our industry,Technical Support,Medium,bulk purchase
Good morning the laptop arrived late and is no longer needed,Returns and Exchanges,High,return label
The tablet is missing parts and I would like to return it,Returns and Exchanges,Medium,return label
Requesting assistance our premium plan was billed before the trial period ended,Billing and Payments,Low,subscription charge
For your attention my travel reimbursement from last month is still outstanding,Human Resources,Low,reimbursement claim
Good morning we are evaluating your storage plan for our organization,Sales and Pre-Sales,Low,enterprise plan
Reporting an issue requesting clarification on my remaining study leave balance,Human Resources,Medium,employee benefits
For your attention please arrange a call to discuss our premium requirements,Sales and Pre-Sales,Low,subscription renewal
Hello the refund I requested for hosting service has not been processed yet,Billing and Payments,Medium,invoice payment
Hello the webcam in the office is displaying errors and needs attention,Technical Support,High,software install
Following up my mailing address update in the portal is still showing as pending,Human Resources,Low,payroll salary
I need a refund for the a duplicate transaction on my last monthly statement,Billing and Payments,Low,refund billing
Reporting an issue the laptop is missing parts and I would like to return it,Returns and Exchanges,Medium,return label
Need support i was charged an unauthorized charge for my subscription subscription,Billing and Payments,Low,invoice payment
Need support i have a question regarding my health insurance enrollment,Human Resources,Low,employment letter
Quick question i want to enroll in the company health insurance program,Human Resources,Medium,payroll salary
Good morning why does my billing statement show a line item higher than expected,Billing and Payments,Medium,refund billing
Hello requesting a return authorization for the defective mouse,Returns and Exchanges,Medium,exchange product
Please help requesting a proposal for deploying collaboration suite across our team,Sales and Pre-Sales,Medium,proposal request
Please help i would like to review my childcare benefit options for next year,Human Resources,High,hr portal
Need support the contact details on my employee record is incorrect,Human Resources,High,payroll salary
FYI i want to send back the scanner and receive store credit,Returns and Exchanges,Low,replacement request
For your attention my payment for the support package did not go through successfully,Billing and Payments,Medium,payment failed
Please help i would like to return the router I received last week,Returns and Exchanges,Low,shipping damage
Urgent the invoice generated this month contains incorrect late fee,Billing and Payments,Medium,duplicate charge
Reporting an issue i would like a quote for two hundred units of your cloud platform,Sales and Pre-Sales,Low,license upgrade
FYI the docking station is missing parts and I would like to return it,Returns and Exchanges,Medium,exchange product
Requesting assistance please share information about your enterprise collaboration suite options,Sales and Pre-Sales,High,subscription renewal
Quick question my auto-payment for the support package failed this billing cycle,Human Resources,Low,tax invoice
Following up i would like a quote for two hundred units of your analytics tool,Sales and Pre-Sales,Low,quote pricing
Hi team the docking station stopped working within days of delivery,Returns and Exchanges,Low,replacement request
Reporting an issue there is a discrepancy in the currency conversion on my invoice,Billing and Payments,Low,tax invoice
Following up i would like to schedule a demo of the cloud platform,Sales and Pre-Sales,Medium,subscription renewal
Kindly assist please share information about your enterprise software suite options,Sales and Pre-Sales,Medium,proposal request
Reporting an issue i need a refund for the an incorrect amount on my last billing statement,Billing and Payments,Medium,payment failed
Following up my onboarding paperwork is still pending in the employee portal,Human Resources,Low,employment letter
Good morning my allowance from last month is still outstanding,Human Resources,Medium,onboarding paperwork
Good morning my subscription renewal shows an unexpected currency conversion,Billing and Payments,Low,subscription charge
Please help the billing system charged me twice for the same software license,Billing and Payments,Medium,refund billing
For your attention my the CRM application mailbox is not syncing after the Windows update,Technical Support,Low,active directory
Reporting an issue requesting information about my disability insurance coverage,Human Resources,Medium,tax document
Urgent can you resend my employment letter as I did not receive it,Human Resources,Medium,reimbursement claim
Reporting an issue why does my billing statement show a discount higher than expected,Billing and Payments,Low,duplicate charge
My workstation cannot detect the external drive anymore,Technical Support,Critical,authentication error
Please help i would like to return the printer I received last week,Returns and Exchanges,Low,wrong item
Requesting assistance Outlook fails to sync my data with the file server,Technical Support,High,outlook email
Hello can your team provide a customized quote for security solution,Sales and Pre-Sales,Low,proposal request
Requesting assistance the scanner I ordered arrived broken and I need a replacement,Returns and Exchanges,Medium,return label
Good morning the wireless network connection drops repeatedly during large downloads,Technical Support,High,server access
Reporting an issue how do I exchange the monitor for the correct model,Returns and Exchanges,Low,return label
Requesting assistance the printer does not work with our existing equipment,Sales and Pre-Sales,Low,damaged item
Please help i want to send back the tablet and receive store credit,Returns and Exchanges,Medium,wrong item
Quick question i need a refund for the a double payment on my last billing statement,Billing and Payments,Medium,duplicate charge
Reporting an issue there is a discrepancy in the currency conversion on my receipt,Billing and Payments,Medium,invoice payment
We are considering switching to your hosting solution,Sales and Pre-Sales,Low,enterprise plan
Please help why does my account statement show a total amount higher than expected,Billing and Payments,Medium,duplicate charge
Quick question the headset stopped working within days of delivery,Returns and Exchanges,Medium,damaged item
Please help the purchase order was billed at the wrong line item,Billing and Payments,Low,payment failed
Following up requesting information about my retirement plan coverage,Human Resources,Medium,employee benefits
Reporting an issue requesting an exchange for the router due to it being broken,Returns and Exchanges,Low,damaged item
Good morning i need a refund for the an incorrect amount on my last monthly statement,Billing and Payments,Low,tax invoice
Hello my deduction was not included in this month's payment,Human Resources,Medium,leave request
Need support getting a security warning when connecting to the company intranet,Technical Support,High,printer issue
Quick question the replacement scanner I received is also faulty,Returns and Exchanges,Low,return refund
Requesting assistance please update my emergency contact in my home address,Human Resources,Medium,employment letter
Hello my refund for the returned external drive has not arrived yet,Returns and Exchanges,Low,replacement request
The Exchange on my tablet will not open after the Windows update,Technical Support,Low,server access
Hi team the scanner I ordered is faulty straight out of the box,Returns and Exchanges,Low,return label
Please send me the feature comparison for your monitoring platform plans,Sales and Pre-Sales,Medium,license upgrade
FYI can you explain the difference between your subscription tiers,Sales and Pre-Sales,Medium,enterprise plan
Good morning i have not received the monthly statement for last month's monthly plan,Billing and Payments,Low,duplicate charge
Urgent please confirm the status of my unpaid leave application,Returns and Exchanges,Low,hr portal
Kindly assist can your team provide a customized quote for security solution,Sales and Pre-Sales,Medium,product demo
FYI can I exchange this headset for a newer specification,Returns and Exchanges,Medium,return refund
Need support my notebook froze completely while running Exchange,Technical Support,High,outlook email
Hello the office PC will not recognize the printer even after restarting it,Technical Support,High,cloud storage
Hi team i would like to return the tablet I received last week,Returns and Exchanges,Low,return label
Reporting an issue i am getting a timeout error when opening the CRM application,Technical Support,Critical,server access
Following up we need a scalable cloud platform solution for fifty users,Sales and Pre-Sales,Low,proposal request
Following up my unpaid leave balance was not updated after my last request,Human Resources,Medium,onboarding paperwork
Urgent requesting information about my life insurance coverage,Human Resources,Low,leave request
Reporting an issue i need a refund for the an overcharge on my last account statement,Billing and Payments,Low,tax invoice
For your attention i need to change my home address following my relocation,Human Resources,Low,employee benefits
Quick question my study leave request has not been approved yet,Human Resources,Low,leave request
Urgent the tax information on invoice does not match our agreed contract,Billing and Payments,Low,payment failed
Need support the invoice generated this month contains incorrect processing fee,Billing and Payments,Medium,purchase order
Kindly assist i have not received my tax form for tax filing purposes,Returns and Exchanges,High,tax document
Need support the OneDrive on my monitor will not open after the operating system update,Technical Support,Critical,outlook email
Hello there is a blue screen appearing when I access the application server,Technical Support,Critical,printer issue
Good morning please explain the subscription fee added to my latest billing statement,Billing and Payments,High,tax invoice
Following up i suspect my monitor was infected while accessing Active Directory,Technical Support,High,server access
Good morning the external drive was damaged during shipping and needs to be returned,Returns and Exchanges,Medium,damaged item
For your attention my account is locked out of the file server after multiple attempts,Technical Support,High,cloud storage
Hello there is a discrepancy in the unit price on my bill,Billing and Payments,High,overcharge dispute
Following up what are the licensing options for the backup solution,Sales and Pre-Sales,Low,product demo
The webcam arrived late and is no longer needed,Sales and Pre-Sales,Low,store credit
Need support my tablet shows a runtime error immediately after startup,Technical Support,Medium,system update
Following up the replacement webcam I received is also incomplete,Returns and Exchanges,Low,wrong item
Following up i cannot connect to the company VPN from the airport,Technical Support,Critical,active directory
Need support the monitor in the office is not charging and needs attention,Technical Support,High,server access
Please help i would like to apply for paternity leave starting next month,Human Resources,Low,tax document
For your attention i have a question regarding my retirement plan enrollment,Human Resources,Low,hr portal
Good morning my travel reimbursement was not included in this month's payment,Returns and Exchanges,High,leave request
Requesting assistance i would like to apply for vacation time starting next month,Human Resources,High,reimbursement claim
Kindly assist my access badge is not working for Active Directory,Technical Support,High,system update
Reporting an issue the returned headset was received but no refund was issued,Returns and Exchanges,Low,defective hardware
Hello i would like to schedule a demo of the CRM system,Sales and Pre-Sales,Medium,quote pricing
Hi team requesting information about my health insurance coverage,Human Resources,Low,hr portal
Following up there is an error in the travel reimbursement on my payslip,Human Resources,High,onboarding paperwork
The headset arrived late and is no longer needed,Returns and Exchanges,Low,shipping damage
Kindly assist Teams fails to sync my data with the cloud server,Technical Support,High,authentication error
Need support the laptop is missing parts and I would like to return it,Returns and Exchanges,Low,replacement request
Quick question i want to send back the docking station and receive store credit,Returns and Exchanges,Low,shipping damage
Please help i would like to apply for vacation time starting next month,Human Resources,Low,payroll salary
For your attention i am interested in upgrading my current support plan,Sales and Pre-Sales,Medium,quote pricing
Quick question requesting installation of SharePoint on my work docking station,Technical Support,High,outlook email
Requesting assistance the LAN is extremely slow when I try to online meetings,Technical Support,High,outlook email
For your attention my credit card was declined when paying the billing statement,Billing and Payments,High,overcharge dispute
Kindly assist why does my bill show a subscription fee higher than expected,Billing and Payments,Medium,tax invoice
Requesting assistance the replacement webcam I received is also not working,Returns and Exchanges,High,wrong item
For your attention i am getting a connection error when opening the ERP system,Technical Support,Low,laptop hardware
Quick question the purchase order was billed at the wrong subscription fee,Billing and Payments,Medium,duplicate charge
FYI the workstation will not detect the monitor even after restarting it,Technical Support,Medium,laptop hardware
Hi team a duplicate charge for annual contract appeared on my bill,Billing and Payments,Medium,statement billing
Kindly assist please help me understand the disability insurance claim process,Human Resources,Medium,employee benefits
Hello the the accounting software on my laptop will not open after the firmware update,Technical Support,Medium,active directory
Urgent the tax details on my employee record is incorrect,Human Resources,Medium,employment letter
Requesting assistance can I exchange this printer for a newer specification,Returns and Exchanges,Low,wrong item
For your attention i want to send back the webcam and receive store credit,Returns and Exchanges,Medium,exchange product
For your attention my credit card was declined when paying the bill,Billing and Payments,Low,overcharge dispute
Urgent my PIN is not working for the employee portal,Technical Support,Critical,vpn network
Quick question we need a scalable cloud platform solution for fifty users,Sales and Pre-Sales,Medium,product demo
Requesting assistance the keyboard in the office is shutting down randomly and needs attention,Technical Support,Low,password login
Following up why does my monthly statement show a unit price higher than expected,Human Resources,Low,invoice payment
Following up my docking station froze completely while running OneDrive,Technical Support,High,authentication error
Quick question i need pricing for adding more seats to our support subscription,Sales and Pre-Sales,Medium,product demo
Hi team i want to enroll in the company childcare benefit program,Human Resources,Medium,employee benefits
Need support i would like a quote for thirty units of your backup solution,Sales and Pre-Sales,Low,product demo
Urgent i want to discuss a bulk purchase of fifty storage plan licenses,Sales and Pre-Sales,Low,product demo
Requesting assistance can I exchange this router for a newer size,Sales and Pre-Sales,Low,wrong item
Hi team i was charged a duplicate transaction for my software license subscription,Billing and Payments,Medium,refund billing
Requesting assistance i want to discuss a bulk purchase of thirty software suite licenses,Sales and Pre-Sales,Medium,enterprise plan
Hi team i would like to learn more about the analytics tool before purchasing,Sales and Pre-Sales,High,sales inquiry
Can you resend my pay stub as I did not receive it,Human Resources,High,reimbursement claim
Kindly assist requesting an update to my home address after a recent change,Human Resources,Low,employee benefits
Need support my auto-payment for the premium plan failed this billing cycle,Billing and Payments,Low,invoice payment
I cannot log into the file server using multi-factor authentication,Technical Support,Medium,wifi connection
Hi team i would like a quote for one hundred units of your backup solution,Sales and Pre-Sales,Medium,trial evaluation
Good morning we are evaluating your monitoring platform for our organization,Sales and Pre-Sales,High,license upgrade
Quick question i was charged an overcharge for my support package subscription,Billing and Payments,Low,refund billing
Following up can you resend my offer letter as I did not receive it,Human Resources,High,enrollment benefits
Kindly assist the mouse I ordered arrived faulty and I need a replacement,Returns and Exchanges,Low,exchange product
Urgent the keyboard is missing parts and I would like to return it,Returns and Exchanges,Low,return refund
Quick question can you resend my income proof as I did not receive it,Human Resources,High,enrollment benefits
Kindly assist i would like to return the docking station I received last week,Returns and Exchanges,Medium,replacement request
Kindly assist my direct debit was declined when paying the account statement,Billing and Payments,High,duplicate charge
Following up the network switch in the office is making noise and needs attention,Technical Support,Critical,printer issue
Kindly assist please correct the discount listed on my recent invoice,Billing and Payments,Low,statement billing
Hello we need a scalable CRM system solution for two hundred users,Sales and Pre-Sales,Medium,proposal request
Urgent the docking station I ordered arrived broken and I need a replacement,Returns and Exchanges,Low,return label
Please help i would like a full refund for the broken router,Returns and Exchanges,Medium,store credit
Urgent a duplicate charge for support package appeared on my receipt,Billing and Payments,Low,tax invoice
Need support my bereavement leave balance was not updated after my last request,Human Resources,Medium,employment letter
For your attention i would like to review my life insurance options for next year,Human Resources,Medium,reimbursement claim
Kindly assist my refund for the returned laptop has not arrived yet,Returns and Exchanges,Medium,return refund
Please help we need a scalable CRM system solution for several users,Sales and Pre-Sales,Medium,license upgrade
Following up i need to update my bank details in the employee portal,Human Resources,Medium,tax document
Quick question the scanner I ordered is not working straight out of the box,Returns and Exchanges,Medium,exchange product
Quick question the exchange for my tablet was never shipped out,Returns and Exchanges,Medium,replacement request
Hi team why does my account statement show a discount higher than expected,Billing and Payments,Low,duplicate charge
For your attention could you share case studies for your analytics tool in our industry,Sales and Pre-Sales,Low,subscription renewal
There is a blue screen appearing when I access the application server,Technical Support,Critical,vpn network
Reporting an issue the external drive is missing parts and I would like to return it,Returns and Exchanges,Medium,exchange product
FYI the office chair was damaged during shipping and needs to be returned,Returns and Exchanges,Low,store credit
Reporting an issue please confirm the status of my sick leave application,Human Resources,Low,leave request
For your attention my workstation is shutting down randomly after the recent Office 365 update,Technical Support,Low,software install
Quick question my payment for the cloud storage did not go through successfully,Billing and Payments,Medium,duplicate charge
Hi team please correct the line item listed on my recent invoice,Billing and Payments,Low,purchase order
FYI can you provide pricing details for the monitoring platform package,Sales and Pre-Sales,Low,enterprise plan
Need support i need to submit my bonus for approval this cycle,Human Resources,Low,reimbursement claim
Following up i need clarification on the late fee in this month's invoice,Billing and Payments,Low,refund billing
Hello my bonus from last month is still outstanding,Human Resources,High,hr portal
Reporting an issue the marital status change I submitted has not reflected in the system,Human Resources,Low,hr portal
Reporting an issue my desktop shows a fatal error immediately after startup,Technical Support,Critical,server access
Reporting an issue we are interested in a partnership regarding your cloud platform,Sales and Pre-Sales,Low,subscription renewal
Please help the company intranet connection drops repeatedly during backup operations,Technical Support,High,vpn network
Following up the profile information change I submitted has not reflected in the system,Human Resources,Low,tax document
Quick question requesting information about my childcare benefit coverage,Human Resources,High,hr portal
Reporting an issue my subscription renewal shows an unexpected unit price,Billing and Payments,Low,statement billing
Quick question i would like to apply for sick leave starting next month,Human Resources,High,employee benefits
For your attention i need help configuring the internal portal on my new laptop,Technical Support,Critical,server access
Need support my refund for the returned webcam has not arrived yet,Returns and Exchanges,Medium,damaged item
Hi team requesting installation of OneDrive on my work desktop,Technical Support,Critical,cloud storage
For your attention i am interested in upgrading my current subscription plan,Sales and Pre-Sales,Low,trial evaluation
Kindly assist the Zoom on my docking station will not open after the operating system update,Technical Support,High,outlook email
Urgent my payment method was declined when paying the monthly statement,Billing and Payments,Medium,duplicate charge
I am interested in upgrading my current hosting plan,Sales and Pre-Sales,Medium,product demo
Hi team requesting a return authorization for the defective laptop,Returns and Exchanges,Medium,shipping damage
Reporting an issue i would like to review my retirement plan options for next year,Human Resources,High,leave request
For your attention the corporate network is extremely slow when I try to video calls,Technical Support,High,outlook email
Can you resend my income proof as I did not receive it,Human Resources,Low,tax document
Urgent i would like a quote for fifty units of your backup solution,Sales and Pre-Sales,Medium,proposal request
Requesting assistance i want to discuss a bulk purchase of thirty storage plan licenses,Sales and Pre-Sales,High,subscription renewal
The monitor I ordered arrived broken and I need a replacement,Returns and Exchanges,Low,store credit
Requesting assistance my salary slip shows an incorrect holiday pay,Human Resources,Medium,hr portal
For your attention the SharePoint on my docking station will not open after the Office 365 update,Technical Support,Medium,password login
Urgent there is a fatal error appearing when I access the database server,Technical Support,Medium,printer issue
Please help the webcam in the office is freezing frequently and needs attention,Technical Support,Medium,printer issue
For your attention can you resend my tax form as I did not receive it,Human Resources,Low,hr portal
Urgent the the CRM application keeps crashing whenever I try to share my screen,Technical Support,Critical,cloud storage
Kindly assist we are evaluating your collaboration suite for our organization,Sales and Pre-Sales,High,enterprise plan
Urgent i have a question regarding my retirement plan enrollment,Human Resources,Medium,payroll salary
FYI we need a scalable monitoring platform solution for fifty users,Sales and Pre-Sales,Low,subscription renewal
Following up my gym membership deduction seems higher than expected this month,Human Resources,Medium,reimbursement claim
Following up i want to send back the monitor and receive store credit,Returns and Exchanges,Low,shipping damage
Hi team requesting information about my life insurance coverage,Human Resources,Low,leave request
Reporting an issue i am interested in upgrading my current hosting plan,Sales and Pre-Sales,Medium,proposal request
Quick question my PIN is not working for the intranet,Technical Support,Low,vpn network
Kindly assist requesting a trial version of the collaboration suite for evaluation,Sales and Pre-Sales,Low,license upgrade
I am getting a access denied message when opening the internal portal,Technical Support,Medium,wifi connection
Urgent i was charged a double payment for my annual contract subscription,Billing and Payments,High,duplicate charge
Reporting an issue my deduction from last month is still outstanding,Human Resources,Low,leave request
FYI the laptop does not match what was described in my order,Returns and Exchanges,Medium,wrong item
Kindly assist i would like to compare your cloud platform against competitors,Sales and Pre-Sales,Low,license upgrade
Need support my payment for the annual contract did not go through successfully,Billing and Payments,Low,purchase order
Please help i want to enroll in the company health insurance program,Human Resources,Medium,payroll salary
FYI the returned router was received but no refund was issued,Returns and Exchanges,Medium,damaged item
For your attention the office chair arrived late and is no longer needed,Returns and Exchanges,Low,exchange product
Quick question there is a discrepancy in the total amount on my bill,Billing and Payments,Low,tax invoice
Urgent my parental leave balance was not updated after my last request,Human Resources,High,enrollment benefits
Need support my maternity leave balance was not updated after my last request,Human Resources,Medium,reimbursement claim
Quick question i want to send back the headset and receive store credit,Returns and Exchanges,High,store credit
Following up i have not received the receipt for last month's monthly plan,Billing and Payments,Medium,purchase order
Good morning can your team provide a customized quote for CRM system,Sales and Pre-Sales,Medium,trial evaluation
FYI i am getting a timeout error when opening the accounting software,Billing and Payments,High,authentication error
Urgent i need to return the office chair as it is incompatible with my setup,Returns and Exchanges,Low,shipping damage
Following up my reimbursement for allowance has not been processed,Human Resources,Medium,employment letter
Urgent please explain the discount added to my latest receipt,Billing and Payments,Low,purchase order
The account statement shows a processing fee that I do not recognize,Billing and Payments,High,tax invoice
Reporting an issue the office chair I ordered arrived the wrong model and I need a replacement,Returns and Exchanges,Medium,return label
Requesting assistance my desktop shows a certificate warning immediately after startup,Technical Support,High,software install
Hi team requesting an exchange for the laptop due to it being malfunctioning,Returns and Exchanges,Medium,return refund
Good morning i received the wrong scanner in my recent order,Sales and Pre-Sales,Low,store credit
Following up requesting a trial version of the CRM system for evaluation,Sales and Pre-Sales,Low,proposal request
For your attention requesting an update to my home address after a recent change,Human Resources,Low,onboarding paperwork
Urgent my sick leave request has not been approved yet,Human Resources,Medium,hr portal
FYI can you resend my tax form as I did not receive it,Human Resources,Medium,payroll salary
For your attention could you share case studies for your security solution in our industry,Sales and Pre-Sales,Low,trial evaluation
For your attention my return request for the webcam has not been approved yet,Returns and Exchanges,Low,defective hardware
Requesting assistance i was charged an overcharge for my annual contract subscription,Billing and Payments,Low,tax invoice
Good morning the receipt shows a discount that I do not recognize,Billing and Payments,Low,statement billing
FYI please provide details on the implementation timeline for security solution,Sales and Pre-Sales,Medium,sales inquiry
Urgent i received the wrong laptop in my recent order,Returns and Exchanges,Medium,defective hardware
My allowance was not included in this month's payment,Human Resources,Medium,employee benefits
Kindly assist how do I exchange the tablet for the correct color,Returns and Exchanges,Medium,damaged item
Quick question i would like to request my tax form for a loan application,Returns and Exchanges,Low,reimbursement claim
Hi team i need to return the office chair as it is incompatible with my setup,Returns and Exchanges,Low,defective hardware
Following up the processing fee on invoice does not match our agreed contract,Billing and Payments,High,duplicate charge
I want to send back the keyboard and receive store credit,Returns and Exchanges,Low,defective hardware
Good morning there is a timeout error appearing when I access the database server,Technical Support,High,software install
FYI i was billed for annual contract that we already cancelled,Billing and Payments,High,tax invoice
For your attention please update my emergency contact in my bank details,Human Resources,High,leave request
Hello the password reset link for Azure is not working,Billing and Payments,Critical,vpn network
Requesting an update to my tax details after a recent change,Human Resources,Medium,onboarding paperwork
Hi team requesting a copy of the receipt for our accounting records,Billing and Payments,Low,subscription charge
There is a discrepancy in the service charge on my receipt,Billing and Payments,Medium,duplicate charge
Need support could you share case studies for your monitoring platform in our industry,Sales and Pre-Sales,Low,enterprise plan
Quick question i want to enroll in the company dental coverage program,Human Resources,Medium,enrollment benefits
Hello the invoice generated this month contains incorrect total amount,Billing and Payments,Low,tax invoice
Urgent what is the onboarding process for new collaboration suite customers,Sales and Pre-Sales,Low,subscription renewal
Reporting an issue there is an error in the deduction on my payslip,Human Resources,Low,hr portal
FYI my payroll details are missing from this month's salary statement,Human Resources,Medium,payroll salary
Good morning i have not received my income proof for tax filing purposes,Human Resources,Low,reimbursement claim
Hello my retirement plan deduction seems higher than expected this month,Human Resources,Medium,leave request
Good morning the router I ordered arrived damaged and I need a replacement,Returns and Exchanges,Medium,defective hardware
Good morning we need a scalable software suite solution for thirty users,Sales and Pre-Sales,Medium,sales inquiry
Please help the laptop is missing parts and I would like to return it,Returns and Exchanges,Medium,exchange product
Following up the bill shows a service charge that I do not recognize,Billing and Payments,Medium,overcharge dispute
Hi team we are considering switching to your support solution,Sales and Pre-Sales,Medium,trial evaluation
Hi team i need pricing for adding more seats to our managed service subscription,Sales and Pre-Sales,Low,product demo
Quick question the VPN connection drops repeatedly during backup operations,Technical Support,Low,software install
Urgent i would like a quote for several units of your cloud platform,Sales and Pre-Sales,Medium,quote pricing
Reporting an issue we are evaluating your software suite for our organization,Sales and Pre-Sales,Medium,bulk purchase
For your attention i would like to return the external drive I received last week,Returns and Exchanges,Medium,wrong item
Quick question i would like to schedule a demo of the monitoring platform,Sales and Pre-Sales,Low,bulk purchase
Following up requesting a return authorization for the defective monitor,Returns and Exchanges,Medium,damaged item
Good morning i would like to learn more about the monitoring platform before purchasing,Sales and Pre-Sales,Medium,product demo
Reporting an issue the replacement keyboard I received is also the wrong model,Returns and Exchanges,High,shipping damage
Quick question my company phone shows a timeout error immediately after startup,Technical Support,Critical,active directory
Good morning the monitor I ordered arrived broken and I need a replacement,Returns and Exchanges,High,exchange product
Please help i would like to learn more about the collaboration suite before purchasing,Sales and Pre-Sales,Low,sales inquiry
Urgent my salary slip shows an incorrect expense claim,Human Resources,High,employment letter
Quick question there is a certificate warning appearing when I access the database server,Technical Support,Critical,authentication error
For your attention the replacement docking station I received is also faulty,Returns and Exchanges,Low,wrong item
Kindly assist a duplicate charge for software license appeared on my receipt,Billing and Payments,Low,statement billing
Hi team the scanner arrived late and is no longer needed,Returns and Exchanges,Medium,return label
Please help requesting installation of Outlook on my work tablet,Technical Support,Medium,vpn network
I need to return the tablet because it is incomplete,Returns and Exchanges,Medium,exchange product
Reporting an issue i would like to review my dental coverage options for next year,Human Resources,Low,employment letter
Requesting assistance there is an error in the shift allowance on my payslip,Human Resources,Low,leave request
Please help could you share case studies for your collaboration suite in our industry,Sales and Pre-Sales,Low,proposal request
Kindly assist the headset keeps disconnecting from my monitor,Technical Support,Critical,outlook email
FYI my refund for the returned docking station has not arrived yet,Returns and Exchanges,Medium,exchange product
Please help the tax amount on my receipt appears to be calculated incorrectly,Billing and Payments,Medium,refund billing
FYI requesting a return authorization for the defective mouse,Returns and Exchanges,Low,defective hardware
For your attention i would like to review my benefits options for next year,Returns and Exchanges,Low,employee benefits
For your attention i want to renew our contract and expand our managed service usage,Sales and Pre-Sales,Low,license upgrade
FYI please help me understand the retirement plan claim process,Human Resources,Medium,employment letter
The webcam in the office is not turning on and needs attention,Technical Support,High,software install
The SharePoint keeps crashing whenever I try to send emails,Technical Support,Critical,system update
Urgent i would like to request my tax statement for a loan application,Human Resources,Low,payroll salary
Please help i want to enroll in the company wellness program program,Human Resources,Low,employee benefits
For your attention the webcam I ordered arrived missing components and I need a replacement,Returns and Exchanges,Medium,defective hardware
Need support i would like to learn more about the monitoring platform before purchasing,Sales and Pre-Sales,Medium,sales inquiry
Hello can you provide pricing details for the monitoring platform package,Sales and Pre-Sales,Medium,license upgrade
Hello please explain the currency conversion added to my latest billing statement,Billing and Payments,Low,statement billing
Hello there is a discrepancy in the processing fee on my billing statement,Billing and Payments,Medium,duplicate charge
Quick question requesting an update to my phone number after a recent change,Human Resources,Medium,leave request
Our annual contract was billed before the trial period ended,Billing and Payments,High,duplicate charge
Reporting an issue i want to discuss a bulk purchase of two hundred collaboration suite licenses,Sales and Pre-Sales,Low,trial evaluation
For your attention the username reset link for the database is not working,Technical Support,Critical,printer issue
Urgent why does my account statement show a currency conversion higher than expected,Billing and Payments,High,refund billing
For your attention the purchase order was billed at the wrong late fee,Billing and Payments,Medium,subscription charge
Good morning can I exchange this headset for a newer size,Returns and Exchanges,Medium,store credit
Quick question the currency conversion on invoice does not match our agreed contract,Billing and Payments,Medium,subscription charge
Need support my notebook cannot detect the scanner anymore,Technical Support,Critical,wifi connection
FYI we are considering switching to your premium solution,Sales and Pre-Sales,Low,product demo
Following up the marital status on my employee record is incorrect,Human Resources,Medium,leave request
Quick question my subscription renewal shows an unexpected subscription fee,Billing and Payments,Medium,tax invoice
Kindly assist we are interested in a partnership regarding your cloud platform,Sales and Pre-Sales,Low,trial evaluation
Requesting assistance why does my billing statement show a tax information higher than expected,Billing and Payments,Low,payment failed
Quick question please send me the feature comparison for your collaboration suite plans,Sales and Pre-Sales,Medium,bulk purchase
Kindly assist the headset was damaged during shipping and needs to be returned,Returns and Exchanges,Low,return label
For your attention i cannot connect to the company corporate network from the airport,Technical Support,Low,authentication error
Urgent the billing system charged me twice for the same subscription,Billing and Payments,Medium,tax invoice
Quick question i am disputing a an unauthorized charge that appeared on my receipt,Billing and Payments,High,tax invoice
Quick question i am disputing a an incorrect amount that appeared on my bill,Billing and Payments,Low,payment failed
The invoice generated this month contains incorrect line item,Billing and Payments,Low,duplicate charge
Quick question i cannot log into Azure using multi-factor authentication,Technical Support,Critical,outlook email
Quick question please process a return label for the external drive I purchased,Returns and Exchanges,Medium,wrong item
Hello my onboarding paperwork is still pending in the employee portal,Human Resources,High,onboarding paperwork
Kindly assist there is a discrepancy in the service charge on my invoice,Billing and Payments,High,purchase order
Reporting an issue i would like to apply for parental leave starting next month,Human Resources,Low,hr portal
